4,74,2,,,,,,,
,,,,,,,,,
Ind,Pop,Du215,,Du281 ,,Du323 ,,Du47G ,
1_Sem,Sem,2,3,2,3,2,3,2,5
2_Sem,Sem,2,3,2,3,2,3,2,5
3_Sem,Sem,2,3,2,3,2,3,2,5
4_Sem,Sem,2,3,2,3,2,3,5,5
5_Sem,Sem,2,3,2,3,2,3,2,5
6_Sem,Sem,2,3,2,3,2,3,5,5
7_Sem,Sem,2,3,2,3,2,3,2,5
8_Sem,Sem,2,3,2,4,2,3,2,5
9_Sem,Sem,2,3,2,3,2,3,2,5
10_Sem,Sem,2,3,2,4,2,3,2,5
11_Sem,Sem,2,3,2,3,2,3,2,6
12_Sem,Sem,2,3,2,4,2,3,2,5
13_Sem,Sem,2,3,2,3,2,3,2,5
14_Sem,Sem,2,3,2,4,2,3,2,5
15_Sem,Sem,2,3,2,3,2,3,2,5
16_Sem,Sem,2,3,2,3,2,3,2,4
17_Sem,Sem,2,3,2,3,1,3,2,5
18_Sem,Sem,2,3,2,3,2,3,2,5
19_Sem,Sem,2,3,2,3,2,3,2,5
20_Sem,Sem,2,3,2,3,2,3,2,5
21_Sem,Sem,2,3,2,3,2,3,2,5
22_Sem,Sem,2,3,2,3,2,3,2,5
23_Sem,Sem,2,3,2,3,2,3,2,5
24_Sem,Sem,2,3,2,3,2,3,5,5
25_Sem,Sem,2,3,2,3,2,3,2,5
26_Sem,Sem,2,3,2,3,2,3,2,5
27_Sem,Sem,2,3,2,3,2,3,2,5
28_Sem,Sem,2,3,2,3,2,3,2,5
29_Sem,Sem,2,3,2,3,2,3,2,5
30_Sem,Sem,2,3,2,4,2,3,2,5
31_Sem,Sem,2,3,2,3,2,3,2,5
32_Sem,Sem,2,3,2,3,2,3,2,5
33_Sem,Sem,2,3,2,3,2,3,2,5
34_Sem,Sem,2,3,2,3,2,3,2,5
1_Ukr,Ukr,2,3,2,4,2,3,2,5
2_Ukr,Ukr,2,3,2,3,1,3,2,5
3_Ukr,Ukr,2,3,2,3,2,3,2,5
4_Ukr,Ukr,1,3,2,3,2,3,2,2
5_Ukr,Ukr,1,3,2,3,2,3,2,2
6_Ukr,Ukr,2,3,2,4,1,3,2,5
7_Ukr,Ukr,2,3,2,3,2,3,2,5
8_Ukr,Ukr,2,3,2,4,2,3,2,5
9_Ukr,Ukr,2,3,2,3,2,3,2,5
10_Ukr,Ukr,2,3,2,3,2,3,2,5
11_Ukr,Ukr,2,3,2,4,2,3,1,5
12_Ukr,Ukr,2,3,2,3,2,3,2,5
13_Ukr,Ukr,2,3,2,3,2,3,2,5
14_Ukr,Ukr,1,3,2,3,2,3,2,2
15_Ukr,Ukr,2,3,2,3,2,3,2,5
16_Ukr,Ukr,2,3,2,3,2,3,2,5
17_Ukr,Ukr,2,3,2,3,1,3,2,5
18_Ukr,Ukr,2,3,2,3,2,3,2,5
19_Ukr,Ukr,2,3,2,3,1,3,2,5
20_Ukr,Ukr,2,3,2,4,2,3,2,5
21_Ukr,Ukr,2,3,2,3,2,3,2,5
22_Ukr,Ukr,2,3,2,3,2,3,2,5
23_Ukr,Ukr,2,3,2,3,1,3,2,5
24_Ukr,Ukr,2,3,2,4,2,3,2,5
25_Ukr,Ukr,2,3,2,3,2,3,2,5
26_Ukr,Ukr,2,3,2,3,2,3,2,5
27_Ukr,Ukr,2,3,2,3,2,3,1,5
28_Ukr,Ukr,2,3,2,4,2,3,2,5
29_Ukr,Ukr,2,3,2,3,2,3,2,5
30_Ukr,Ukr,2,3,2,3,2,3,2,5
31_Ukr,Ukr,2,3,2,3,2,3,2,5
32_Ukr,Ukr,2,3,2,3,1,3,2,5
33_Ukr,Ukr,2,3,2,3,1,3,2,5
34_Ukr,Ukr,2,3,2,3,2,3,2,5
35_Ukr,Ukr,2,3,2,4,2,3,2,5
36_Ukr,Ukr,2,3,2,3,2,3,1,5
37_Ukr,Ukr,2,3,2,3,1,3,2,5
38_Ukr,Ukr,2,3,2,3,2,3,1,5
39_Ukr,Ukr,1,3,2,3,2,3,2,2
40_Ukr,Ukr,2,3,2,3,2,3,2,5
